experiment,subject,echo_idx,mean_abs_resid,mse
net3_bias_corrected,sub-04570,1,0.03086799399184985,0.0017906823837666298
net3_bias_corrected,sub-04570,2,0.027382732503922886,0.0015321579449866336
net3_bias_corrected,sub-04570,3,0.02992421149592744,0.0019723050449492055
net3_bias_corrected,sub-04570,4,0.03335922606239743,0.0027127052094706706
net3_bias_corrected,sub-16053,1,0.028800679813819147,0.0015915380818763065
net3_bias_corrected,sub-16053,2,0.025773474605221367,0.0013578779884956388
net3_bias_corrected,sub-16053,3,0.02891209983036297,0.0019541823467818993
net3_bias_corrected,sub-16053,4,0.032210377564254,0.0025473529363240002
net3_bias_corrected,sub-20094,1,0.028231964811491247,0.0015385986762535102
net3_bias_corrected,sub-20094,2,0.0251750560968077,0.0013311063819073465
net3_bias_corrected,sub-20094,3,0.0271491294731354,0.0017623778868394943
net3_bias_corrected,sub-20094,4,0.029592313300076334,0.002345640832211891
net3_bias_corrected,sub-20408,1,0.028132122469781796,0.0015640502303810788
net3_bias_corrected,sub-20408,2,0.02372523608295694,0.0013145484397215233
net3_bias_corrected,sub-20408,3,0.025996043285069725,0.0018181721589053063
net3_bias_corrected,sub-20408,4,0.02954679686911265,0.0026808594075322105
net3_bias_corrected,sub-20823,1,0.025983848771486295,0.0012868632562413823
net3_bias_corrected,sub-20823,2,0.022083324960124447,0.001028135108735281
net3_bias_corrected,sub-20823,3,0.025969239846061087,0.0017014183516273484
net3_bias_corrected,sub-20823,4,0.030038628576852126,0.0025434330235072585
net3_bias_corrected,sub-20851,1,0.025604430138933067,0.001254702067073536
net3_bias_corrected,sub-20851,2,0.023113584303051347,0.0011127231710811214
net3_bias_corrected,sub-20851,3,0.024603444714908534,0.001403672019592992
net3_bias_corrected,sub-20851,4,0.028225571963536786,0.0019668256302992036
net3_bias_corrected,sub-20866,1,0.027316632699992335,0.0014139445504360035
net3_bias_corrected,sub-20866,2,0.024625678368611948,0.0012846721439950613
net3_bias_corrected,sub-20866,3,0.02397307088311717,0.0013232111471454477
net3_bias_corrected,sub-20866,4,0.02363543926225883,0.0014552637730510284
net3_bias_corrected,sub-20893,1,0.027396162699515874,0.0014379758734679806
net3_bias_corrected,sub-20893,2,0.023797429694290582,0.0012170618188738244
net3_bias_corrected,sub-20893,3,0.025898955073736723,0.0016357638484977483
net3_bias_corrected,sub-20893,4,0.02884253532775067,0.0022996665740981914
net3_bias_corrected,sub-20907,1,0.027000059305057476,0.0013852801357896408
net3_bias_corrected,sub-20907,2,0.02190015454591433,0.0010902916047667826
net3_bias_corrected,sub-20907,3,0.023434230877911723,0.0014256622535094993
net3_bias_corrected,sub-20907,4,0.025663176347174545,0.0018839248442848195
net3_bias_corrected,sub-21456,1,0.02797198672698106,0.0014780984250135085
net3_bias_corrected,sub-21456,2,0.02512411380445566,0.001308499360306988
net3_bias_corrected,sub-21456,3,0.02779278518948252,0.0016923731729713667
net3_bias_corrected,sub-21456,4,0.03132651858518393,0.002312980234800205
