experiment,subject,echo_idx,mean_abs_resid,mse
net1_bias_corrected,sub-04570,1,0.006529191324648899,8.885396717192681e-05
net1_bias_corrected,sub-04570,2,0.008958900376084905,0.00016804557926750597
net1_bias_corrected,sub-04620,1,0.005817905883218749,6.745107920125104e-05
net1_bias_corrected,sub-04620,2,0.007979359501545717,0.00013594291846117501
net1_bias_corrected,sub-04710,1,0.00638846045814975,8.363606453979912e-05
net1_bias_corrected,sub-04710,2,0.00836418334644068,0.00015033411230939308
net1_bias_corrected,sub-04800,1,0.005798254478223983,7.17162856793955e-05
net1_bias_corrected,sub-04800,2,0.007808056632527907,0.00013860995573854247
net1_bias_corrected,sub-11310,1,0.006081034246959377,7.36990247679436e-05
net1_bias_corrected,sub-11310,2,0.008193710087291028,0.00014931053534811926
net1_bias_corrected,sub-16053,1,0.006288992870427819,8.018688872458493e-05
net1_bias_corrected,sub-16053,2,0.008508220371678747,0.0001650585777481686
net1_bias_corrected,sub-17821,1,0.005613354918488887,7.040332816923781e-05
net1_bias_corrected,sub-17821,2,0.007444161618884201,0.00012645940487150524
net1_bias_corrected,sub-19284,1,0.006356464577676522,8.696232393570897e-05
net1_bias_corrected,sub-19284,2,0.008395506006520361,0.00014870140662281774
net1_bias_corrected,sub-19774,1,0.006082271909298701,8.224600593337601e-05
net1_bias_corrected,sub-19774,2,0.008101105634226165,0.00013933622767647852
net1_bias_corrected,sub-19943,1,0.00593350785894177,7.408666745232614e-05
net1_bias_corrected,sub-19943,2,0.007748071523585558,0.00013088785616127544
net1_bias_corrected,sub-19979,1,0.005799354481533869,7.113293648819012e-05
net1_bias_corrected,sub-19979,2,0.007904458690163665,0.00014194058714334662
net1_bias_corrected,sub-20094,1,0.006079315285057507,7.17801001134382e-05
net1_bias_corrected,sub-20094,2,0.008089452475466151,0.0001438307311496688
net1_bias_corrected,sub-20407,1,0.006441095111369967,7.862643004484135e-05
net1_bias_corrected,sub-20407,2,0.008159333980688872,0.00013181346331193105
net1_bias_corrected,sub-20408,1,0.005699119154900024,8.163356869757052e-05
