experiment,subject,echo_idx,mean_abs_resid,mse
net1_3echo_bias_corrected,sub-04570,1,0.032634923759027934,0.001989431681352435
net1_3echo_bias_corrected,sub-04570,2,0.03267460679584571,0.002253485616793167
net1_3echo_bias_corrected,sub-04570,3,0.03121941445955353,0.0018793198174520043
net1_3echo_bias_corrected,sub-04710,1,0.031943073582550226,0.0019280158540173366
net1_3echo_bias_corrected,sub-04710,2,0.02638487495879771,0.0014387540010741267
net1_3echo_bias_corrected,sub-04710,3,0.027959472092708056,0.0015689259098427603
net1_3echo_bias_corrected,sub-04800,1,0.029269111119854748,0.0017296208171843506
net1_3echo_bias_corrected,sub-04800,2,0.02440059840668435,0.0013659819073333888
net1_3echo_bias_corrected,sub-04800,3,0.026458547773061766,0.0014946558739789445
net1_3echo_bias_corrected,sub-11310,1,0.03277175826334307,0.001966244887405195
net1_3echo_bias_corrected,sub-11310,2,0.027813276871860755,0.00167811783102028
net1_3echo_bias_corrected,sub-11310,3,0.029051586389261932,0.001690456630165319
net1_3echo_bias_corrected,sub-16053,1,0.033419604226117935,0.002060430741142731
net1_3echo_bias_corrected,sub-16053,2,0.029963271541644312,0.0018699872198850234
net1_3echo_bias_corrected,sub-16053,3,0.030554594936170836,0.0017758937869946988
net1_3echo_bias_corrected,sub-17821,1,0.02774993135133961,0.0015957760841166179
net1_3echo_bias_corrected,sub-17821,2,0.022684864562102742,0.00120659549699068
net1_3echo_bias_corrected,sub-17821,3,0.025006581603329744,0.001365618432056657
net1_3echo_bias_corrected,sub-19284,1,0.03323113954228885,0.0020888275530871123
net1_3echo_bias_corrected,sub-19284,2,0.030079194320328153,0.0020496655315024384
net1_3echo_bias_corrected,sub-19284,3,0.028133060462799942,0.0016336889925986442
net1_3echo_bias_corrected,sub-19774,1,0.030995744255095884,0.0019175331503790913
net1_3echo_bias_corrected,sub-19774,2,0.027644526838584184,0.001712407146927963
net1_3echo_bias_corrected,sub-19774,3,0.027259050594123476,0.0015204303348191298
net1_3echo_bias_corrected,sub-19943,1,0.029495119799339102,0.0016579659716809468
net1_3echo_bias_corrected,sub-19943,2,0.027359293783747938,0.0015996648770043025
net1_3echo_bias_corrected,sub-19943,3,0.026612239391162817,0.0013714048524987553
net1_3echo_bias_corrected,sub-19979,1,0.03166365697400108,0.0020119468960638526
net1_3echo_bias_corrected,sub-19979,2,0.025499032879046573,0.0014732972834559889
net1_3echo_bias_corrected,sub-19979,3,0.026379573539004737,0.0015032881659542646
net1_3echo_bias_corrected,sub-20094,1,0.03268034629592402,0.0019382660745006202
net1_3echo_bias_corrected,sub-20094,2,0.029228274229604893,0.001849547318130299
net1_3echo_bias_corrected,sub-20094,3,0.03037636206211477,0.001765923066669472
net1_3echo_bias_corrected,sub-20407,1,0.032037619992586246,0.0018579251895018097
net1_3echo_bias_corrected,sub-20407,2,0.029964885817832628,0.001862416538540318
net1_3echo_bias_corrected,sub-20407,3,0.02819942664451584,0.0014787151187227962
net1_3echo_bias_corrected,sub-20408,1,0.03015710105696541,0.0019193453898261614
net1_3echo_bias_corrected,sub-20408,2,0.02726050602891153,0.0017368939796161516
net1_3echo_bias_corrected,sub-20408,3,0.025898558659263056,0.0014866455233491455
net1_3echo_bias_corrected,sub-20450,1,0.029728603093256853,0.0016317535150802403
net1_3echo_bias_corrected,sub-20450,2,0.027858890655933752,0.0016765409423035672
net1_3echo_bias_corrected,sub-20450,3,0.027417976725295314,0.0014309733049732599
net1_3echo_bias_corrected,sub-20462,1,0.031390631073360445,0.0019404178781335015
net1_3echo_bias_corrected,sub-20462,2,0.027069180068962043,0.0016086575069499307
net1_3echo_bias_corrected,sub-20462,3,0.027259692071575206,0.0015629541032015795
net1_3echo_bias_corrected,sub-20494,1,0.032765866928511155,0.00198273910998726
net1_3echo_bias_corrected,sub-20494,2,0.030424838029173708,0.001933786556069864
net1_3echo_bias_corrected,sub-20494,3,0.030440859438813243,0.0017895833100275021
net1_3echo_bias_corrected,sub-20503,1,0.032627002001169574,0.0020373959780177232
net1_3echo_bias_corrected,sub-20503,2,0.031042160485193884,0.0020581817357587648
net1_3echo_bias_corrected,sub-20503,3,0.029824132276010374,0.0016902250724888039
net1_3echo_bias_corrected,sub-20758,1,0.030978432009777318,0.0018710602392276717
net1_3echo_bias_corrected,sub-20758,2,0.029650056391694005,0.0019646976677038254
net1_3echo_bias_corrected,sub-20758,3,0.028043933857315573,0.0015534556682355984
net1_3echo_bias_corrected,sub-20823,1,0.0317364015170717,0.0019770383800428197
net1_3echo_bias_corrected,sub-20823,2,0.023742367902442153,0.0012122558967859866
net1_3echo_bias_corrected,sub-20823,3,0.027127388721487632,0.0015531877571945446
net1_3echo_bias_corrected,sub-20824,1,0.03342776961122772,0.0021567932868068324
net1_3echo_bias_corrected,sub-20824,2,0.030089218810353573,0.002024917450826572
net1_3echo_bias_corrected,sub-20824,3,0.0279049775818214,0.0016329077927166567
net1_3echo_bias_corrected,sub-20835,1,0.02361967784860182,0.0009880323680126859
net1_3echo_bias_corrected,sub-20835,2,0.026016749664679272,0.0012622441861424576
net1_3echo_bias_corrected,sub-20835,3,0.028977675100325614,0.0013882280193470242
net1_3echo_bias_corrected,sub-20847,1,0.03243482414125188,0.0021791136716633876
net1_3echo_bias_corrected,sub-20847,2,0.028344582374780214,0.0017454604681413064
net1_3echo_bias_corrected,sub-20847,3,0.02770000887224005,0.0016285161849298954
net1_3echo_bias_corrected,sub-20851,1,0.029786866684695823,0.0016908724589180283
net1_3echo_bias_corrected,sub-20851,2,0.024879106620290876,0.0013065546052504822
net1_3echo_bias_corrected,sub-20851,3,0.026375319063073794,0.001362597620312346
net1_3echo_bias_corrected,sub-20859,1,0.03375152217236376,0.002115141300878768
net1_3echo_bias_corrected,sub-20859,2,0.03206322408611758,0.0021124887151418733
net1_3echo_bias_corrected,sub-20859,3,0.031165118237643712,0.0018615165135433083
net1_3echo_bias_corrected,sub-20860,1,0.03172573522986927,0.0018306627510460988
net1_3echo_bias_corrected,sub-20860,2,0.028913851911612175,0.0017044582392436477
net1_3echo_bias_corrected,sub-20860,3,0.027670232718859527,0.0014257788394384473
net1_3echo_bias_corrected,sub-20862,1,0.02985788068357875,0.0017125390254568416
net1_3echo_bias_corrected,sub-20862,2,0.026216797490956,0.0015053540888729734
net1_3echo_bias_corrected,sub-20862,3,0.026128001314107915,0.0013550192265089894
net1_3echo_bias_corrected,sub-20863,1,0.03117045432521522,0.0017967306256425576
net1_3echo_bias_corrected,sub-20863,2,0.030168000458695693,0.0018901829078445986
net1_3echo_bias_corrected,sub-20863,3,0.030289902692623952,0.001653799634801996
net1_3echo_bias_corrected,sub-20864,1,0.031034953204940964,0.0018669310610069535
net1_3echo_bias_corrected,sub-20864,2,0.027768649936715382,0.001732227074736377
net1_3echo_bias_corrected,sub-20864,3,0.027692488147628844,0.0015874435548809118
net1_3echo_bias_corrected,sub-20866,1,0.029695305179296836,0.0016152467653533795
net1_3echo_bias_corrected,sub-20866,2,0.029342258770596735,0.0018430940760727128
net1_3echo_bias_corrected,sub-20866,3,0.0279472436745163,0.0014724920968612672
net1_3echo_bias_corrected,sub-20892,1,0.032032272698445975,0.0019329467536413614
net1_3echo_bias_corrected,sub-20892,2,0.031225501972775474,0.002049785098309867
net1_3echo_bias_corrected,sub-20892,3,0.029973407458983806,0.0017023835730186098
net1_3echo_bias_corrected,sub-20893,1,0.031568747663382746,0.001970411864895715
net1_3echo_bias_corrected,sub-20893,2,0.025293363017437554,0.001425798670784778
net1_3echo_bias_corrected,sub-20893,3,0.02611013229963001,0.0014591919250817543
net1_3echo_bias_corrected,sub-20907,1,0.027983628547950664,0.0015517097445050113
net1_3echo_bias_corrected,sub-20907,2,0.02483351408498929,0.0014418494279191433
net1_3echo_bias_corrected,sub-20907,3,0.024840244440801042,0.0013213060809308627
net1_3echo_bias_corrected,sub-20932,1,0.029847463896254554,0.001758429759700962
net1_3echo_bias_corrected,sub-20932,2,0.025366757118566705,0.0014267661282729108
net1_3echo_bias_corrected,sub-20932,3,0.025458550827105072,0.0013606990046196254
net1_3echo_bias_corrected,sub-20950,1,0.0299479930569723,0.0017210243468599015
net1_3echo_bias_corrected,sub-20950,2,0.030467878269310755,0.0020163617151700013
net1_3echo_bias_corrected,sub-20950,3,0.028286783266810354,0.001534640446849745
net1_3echo_bias_corrected,sub-20976,1,0.030367308008853407,0.0017531687263951374
net1_3echo_bias_corrected,sub-20976,2,0.027198491480025698,0.0016318549635185669
net1_3echo_bias_corrected,sub-20976,3,0.027504387560927334,0.00152096530053709
net1_3echo_bias_corrected,sub-20983,1,0.030233784806411545,0.0017241593492935906
net1_3echo_bias_corrected,sub-20983,2,0.02923132888981965,0.0017863893737045345
net1_3echo_bias_corrected,sub-20983,3,0.027593259575736342,0.0014497259848266107
net1_3echo_bias_corrected,sub-20984,1,0.0315428664340254,0.0018705592733137314
net1_3echo_bias_corrected,sub-20984,2,0.028902562913272017,0.0018308369716336264
net1_3echo_bias_corrected,sub-20984,3,0.02871135957518482,0.0016384869741872196
net1_3echo_bias_corrected,sub-21036,1,0.032146297855601344,0.001924803863459813
net1_3echo_bias_corrected,sub-21036,2,0.027393070697683798,0.0016242450569037693
net1_3echo_bias_corrected,sub-21036,3,0.02749782066735942,0.0015273053434830127
net1_3echo_bias_corrected,sub-21116,1,0.03414814028849877,0.0021903875353481016
net1_3echo_bias_corrected,sub-21116,2,0.030518014858795545,0.0019957720762688582
net1_3echo_bias_corrected,sub-21116,3,0.029514933672606648,0.0017070366347020133
net1_3echo_bias_corrected,sub-21124,1,0.03132002343520409,0.001815975221498855
net1_3echo_bias_corrected,sub-21124,2,0.02699410329917583,0.0015392398704077261
net1_3echo_bias_corrected,sub-21124,3,0.029019989904891724,0.001646596534968266
net1_3echo_bias_corrected,sub-21126,1,0.028646624315430216,0.0015203864755956723
net1_3echo_bias_corrected,sub-21126,2,0.026027431141173566,0.001357482360400605
net1_3echo_bias_corrected,sub-21126,3,0.027712349455110783,0.0013649645456789267
net1_3echo_bias_corrected,sub-21127,1,0.030836629472613657,0.0017254902668946176
net1_3echo_bias_corrected,sub-21127,2,0.028896118488060462,0.0016858376545266331
net1_3echo_bias_corrected,sub-21127,3,0.029233840074671755,0.0015812917839105596
net1_3echo_bias_corrected,sub-21187,1,0.033361934261645805,0.0020330135425923974
net1_3echo_bias_corrected,sub-21187,2,0.03204838325795506,0.0021744079018830506
net1_3echo_bias_corrected,sub-21187,3,0.03149789267215229,0.0019333265335681783
net1_3echo_bias_corrected,sub-21215,1,0.03165910039763794,0.0018249245791725182
net1_3echo_bias_corrected,sub-21215,2,0.029855833763533773,0.0017330332443042194
